"Treatment","variable","mean","sd","se","n"
7,"pH",7.65757738791423,0.0818090475065184,0.0108358730523055,57
7,"Salinity",27.5848196881092,0.802953249982791,0.106353756081274,57
7,"Temperature",16.9733918128655,4.70095382466138,0.622656544983267,57
7,"pH_measured",7.74016335978836,0.0991112716015471,0.0152932012271215,42
7,"TA_mmol_kgSW",1956.9168537415,32.9708211901039,4.71011731287199,49
7,"pCO2",820.583068783069,242.284440720458,37.3853008468585,42
7,"WCa",1.76219576719577,0.345905937620525,0.0533744449466254,42
7,"WAr",1.11905423280423,0.227910910755073,0.0351674170224191,42
7.5,"pH",7.75508064236111,0.058899083840089,0.00736238548001112,64
7.5,"Salinity",27.7465451388889,0.88959271748682,0.111199089685852,64
7.5,"Temperature",17.7415798611111,4.91388890057232,0.61423611257154,64
7.5,"pH_measured",7.81201757369614,0.0859464672077776,0.0122780667439682,49
7.5,"TA_mmol_kgSW",1960.82467261905,37.1625623972739,4.9660562894717,56
7.5,"pCO2",672.217743764172,155.830927733025,22.2615611047179,49
7.5,"WCa",2.07842970521542,0.267375201354426,0.0381964573363465,49
7.5,"WAr",1.3231179138322,0.178844503505812,0.0255492147865446,49
8,"pH",7.88013203125,0.0840170221270429,0.0105021277658804,64
8,"Salinity",27.7390234375,0.867103516715982,0.108387939589498,64
8,"Temperature",17.7309895833333,4.9152897966165,0.614411224577062,64
8,"pH_measured",7.94987074829932,0.0755854408724464,0.0107979201246352,49
8,"TA_mmol_kgSW",1958.87901785714,34.6273105567209,4.62726901173821,56
8,"pCO2",471.007653061225,93.6513078957918,13.3787582708274,49
8,"WCa",2.80052721088435,0.588011639256868,0.0840016627509812,49
8,"WAr",1.78484693877551,0.393687042051874,0.0562410060074106,49
