"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0009058",0.000244693209787157,0.999881708172792,39,1482,"biosynthetic process","BP"
"2","GO:0034641",0.0038098913379334,0.998028697823915,29,1201,"cellular nitrogen compound metabolic process","BP"
"3","GO:0008283",0.00856052339310537,0.999196635103668,3,31,"cell population proliferation","BP"
"4","GO:0006914",0.0399515911546174,0.996220810415666,2,22,"autophagy","BP"
"5","GO:0007049",0.0480730919720269,0.988028156976709,4,100,"cell cycle","BP"
"6","GO:0005654",0.00273252330028871,0.999418664244904,7,134,"nucleoplasm","CC"
"7","GO:0005634",0.00294714651883071,0.998880006296686,15,468,"nucleus","CC"
"8","GO:0005737",0.0100655964210654,0.996472909199259,10,292,"cytoplasm","CC"
"9","GO:0032991",0.0203263290560323,0.988233478060786,27,1328,"protein-containing complex","CC"
"10","GO:0005783",0.0261632307366902,0.99464579067734,4,76,"endoplasmic reticulum","CC"
"11","GO:0003700",0.00498988143676192,0.998538967941941,9,227,"DNA-binding transcription factor activity","MF"
"12","GO:0003677",0.0141508279768654,0.993230919460057,17,674,"DNA binding","MF"
