"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0022607",0.0217695985245395,0.995766848196432,4,99,"cellular component assembly","BP"
"2","GO:0051276",0.0243420755307462,0.993914806722699,5,155,"chromosome organization","BP"
"3","GO:0065003",0.0302743273937706,0.991987850262127,5,160,"protein-containing complex assembly","BP"
"4","GO:0006412",0.0322874758747563,0.991308164008354,5,162,"translation","BP"
"5","GO:0005856",0.00131100226381861,0.999685833608623,9,262,"cytoskeleton","CC"
"6","GO:0005929",0.00172256576188026,0.99991116349234,3,23,"cilium","CC"
"7","GO:0000228",0.0143068538605444,0.998343506172553,3,48,"nuclear chromosome","CC"
"8","GO:0005737",0.0145403379729139,0.995317381585033,8,292,"cytoplasm","CC"
"9","GO:0005198",0.0108012004009194,0.998301433665045,4,81,"structural molecule activity","MF"
"10","GO:0003924",0.0226427651997437,0.99353290297649,6,200,"GTPase activity","MF"
"11","GO:0016746",0.0360598432735935,0.991791569974283,4,115,"acyltransferase activity","MF"
"12","GO:0016874",0.0373769552059071,0.991394660917744,4,116,"ligase activity","MF"
