Date,Scallop_ID,Day,pCO2_exposure,pCO2_history,Well_ID,Sample_num
20230516,2,14,low,low,A1,S1
20230516,3,14,low,low,A2,S19
20230516,5,14,low,low,A3,S20
20230516,6,14,low,low,A4,S21
20230516,10,14,low,low,A5,S2
20230516,22,14,low,severe,A6,S3
20230516,23,14,low,severe,A7,S22
20230516,27,14,low,severe,A8,S23
20230516,29,14,low,severe,A9,S4
20230516,30,14,low,severe,A10,S5
20230516,34,14,moderate,low,A11,S6
20230516,36,14,moderate,low,A12,S7
20230516,37,14,moderate,low,B1,S8
20230516,39,14,moderate,low,B2,S9
20230516,40,14,moderate,low,B3,S10
20230516,42,14,moderate,moderate,B4,S11
20230516,43,14,moderate,moderate,B5,S12
20230516,47,14,moderate,moderate,B6,S13
20230516,49,14,moderate,moderate,B7,S14
20230516,50,14,moderate,moderate,B8,S24
20230516,52,14,moderate,severe,B9,S25
20230516,53,14,moderate,severe,B10,S15
20230516,55,14,moderate,severe,B11,S26
20230516,56,14,moderate,severe,B12,S16
20230516,60,14,moderate,severe,C1,S27
20230516,62,14,severe,low,C2,S17
20230516,63,14,severe,low,C3,S28
20230516,67,14,severe,low,C4,S29
20230516,69,14,severe,low,C5,S30
20230516,70,14,severe,low,C6,S31
20230516,80,14,severe,moderate,C7,S32
20230516,84,14,severe,severe,C8,S33
20230516,86,14,severe,severe,C9,S36
20230516,87,14,severe,severe,C10,S34
20230516,89,14,severe,severe,C11,S35
20230516,90,14,severe,severe,C12,S18
