"","Cvirginica_KEGGID","Type","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue","Protein_name","Cvirginica_TranscriptID","Airradians_TranscriptID"
"1","cvn:111126648","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111126648",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"28S ribosomal protein S18a, mitochondrial-like","XM_022471432.1","rna-XM_069259846.1"
"2","cvn:111127769","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111127769",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"30S ribosomal protein S11-like","XM_022473010.1","rna-XM_069282704.1"
"3","cvn:111119576","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111119576",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"39S ribosomal protein L15, mitochondrial-like","XM_022459870.1","rna-XM_069270879.1"
"4","cvn:111114067","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111114067",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S11-like","XM_022452387.1","rna-XM_069276258.1"
"5","cvn:111118248","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111118248",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S12-like","XM_022457605.1","rna-XM_069271689.1"
"6","cvn:111100708","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111100708",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S13-like","XM_022432795.1","rna-XM_069277756.1"
"7","cvn:111120557","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111120557",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S14","XM_022461359.1","rna-XM_069267187.1"
"8","cvn:111128580","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111128580",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S15-like","XM_022474258.1","rna-XM_069280578.1"
"9","cvn:111118348","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111118348",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S15Aa","XM_022457754.1","rna-XM_069267807.1"
"10","cvn:111127638","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111127638",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S16","XM_022472901.1","rna-XM_069276653.1"
"11","cvn:111126281","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111126281",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S18","XM_022470798.1","rna-XM_069266006.1"
"12","cvn:111119040","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111119040",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S2","XM_022458848.1","rna-XM_069267558.1"
"13","cvn:111118510","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111118510",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S20","XM_022458026.1","rna-XM_069270927.1"
"14","cvn:111122453","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111122453",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S21-like","XM_022464259.1","rna-XM_069271130.1"
"15","cvn:111106468","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111106468",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S23","XM_022441163.1","rna-XM_069286533.1"
"16","cvn:111119359","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111119359",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S24-like","XM_022459436.1","rna-XM_069266919.1"
"17","cvn:111119359","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111119359",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S24-like","XM_022459436.1","rna-XM_069266918.1"
"18","cvn:111125240","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111125240",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S26-like","XM_022468823.1","rna-XM_069251700.1"
"19","cvn:111115985","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111115985",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S27-like","XM_022454936.1","rna-XM_069245653.1"
"20","cvn:111126078","Cohort WGNCA module black","cvn03010","Ribosome",137,64,"111126078",0.467153284671533,1.09605593652897e-68,67.9601672813389,7.89160274300858e-67,"40S ribosomal protein S3","XM_022470475.1","rna-XM_069273459.1"
